,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell28,Cell29,Cell30
Gene1,30,14,48,12,9,11,1,31,21,5,3,15,0,4,247,10,67,31,90,20,1,38,57,3,18,6,5,2,1,71
Gene2,145,154,9,70,21,45,50,1,137,22,322,1,262,120,283,19,53,13,30,259,17,68,263,22,207,139,1,6,160,1
Gene3,12,95,57,26,71,64,35,42,2,29,7,1,5,13,65,49,7,17,25,45,16,0,17,23,118,73,1,3,15,20
Gene4,5,14,13,167,2,10,10,14,0,8,5,2,7,0,5,30,4,95,139,9,17,31,0,0,32,103,42,19,25,0
Gene5,182,35,1,73,273,30,12,40,548,37,810,251,9,26,137,109,14,233,89,166,134,104,546,182,886,95,225,61,72,167
Gene6,0,4,27,15,0,7,5,0,2,0,49,1,7,0,51,4,30,4,7,0,6,1,40,7,13,2,2,0,1,1
Gene7,174,6,31,739,7,430,13,225,68,153,322,242,4,181,95,0,16,17,84,62,248,200,211,0,48,122,2,79,14,519
Gene8,39,1,35,31,4,8,3,57,130,42,15,24,143,61,110,4,0,37,61,59,4,3,0,0,11,14,1,4,0,1
Gene9,76,438,168,45,184,19,9,677,374,596,50,531,30,20,40,78,103,86,206,25,72,425,171,54,225,65,123,71,33,16
Gene10,228,474,294,150,400,72,153,933,57,47,63,184,332,11,33,67,4,698,57,155,81,13,30,57,230,114,26,338,9,592
Gene11,5,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0
Gene12,0,4,2,9,15,5,0,0,0,0,0,0,0,0,1,0,1,0,0,9,0,0,6,0,12,1,2,4,0,0
Gene13,152,85,0,51,109,4,263,19,7,90,21,310,90,5,2,34,214,211,24,57,10,0,90,13,27,52,3,0,69,1
Gene14,169,201,352,1780,2872,369,79,837,135,207,579,344,132,275,308,535,398,38,485,238,183,97,129,195,120,368,6,90,14,1881
Gene15,197,394,69,707,170,113,62,371,35,1721,990,716,76,199,974,136,157,444,222,201,736,1301,490,123,16,205,1143,116,526,822
Gene16,5,26,221,520,63,103,181,39,211,24,128,469,112,27,220,14,1,2,238,146,269,52,113,60,6,172,9,152,2,33
Gene17,31,6,196,6,20,44,69,41,62,21,72,292,54,0,66,20,16,184,219,70,137,85,17,118,137,20,14,159,18,106
Gene18,9,0,24,13,16,20,0,3,27,0,0,29,0,0,5,6,2,2,19,16,33,33,77,0,4,18,0,4,10,20
Gene19,46,113,155,89,52,2,44,50,7,15,45,1,28,27,53,39,76,15,48,158,3,142,27,3,54,3,4,2,1,0
Gene20,162,49,4,153,254,34,14,24,1,45,89,29,21,43,230,29,27,11,132,70,56,11,35,9,0,3,40,0,23,4
